person_id,id,name,character,role
3308,tm84618,Martin Scorsese,,DIRECTOR
17727,tm154986,John Boorman,,DIRECTOR
11475,tm127384,Terry Jones,,DIRECTOR
11473,tm127384,Terry Gilliam,,DIRECTOR
1063,tm120801,Robert Aldrich,,DIRECTOR
11475,tm70993,Terry Jones,,DIRECTOR
56405,tm14873,Don Siegel,,DIRECTOR
22355,tm119281,Arthur Penn,,DIRECTOR
28692,tm98978,Randal Kleiser,,DIRECTOR
29187,tm44204,J. Lee Thompson,,DIRECTOR
23705,tm67378,Richard Brooks,,DIRECTOR
65063,tm69997,Jeff Margolis,,DIRECTOR
14797,tm16479,Michael Curtiz,,DIRECTOR
173191,tm135083,Youssef Chahine,,DIRECTOR
41187,tm89386,Joachim Fest,,DIRECTOR
529468,tm156453,Francine Parker,,DIRECTOR
173191,tm14350,Youssef Chahine,,DIRECTOR
173191,tm81728,Youssef Chahine,,DIRECTOR
216331,tm94651,Raj Khosla,,DIRECTOR
173191,tm27298,Youssef Chahine,,DIRECTOR
434193,tm100027,Umesh Mehra,,DIRECTOR
514365,tm100027,Latif Faiziyev,,DIRECTOR
173191,tm19608,Youssef Chahine,,DIRECTOR
173191,tm204541,Youssef Chahine,,DIRECTOR
479396,tm259855,Maroun Bagdadi,,DIRECTOR
222342,tm356209,Shakti Samanta,,DIRECTOR
16383,ts45948,Ian MacNaughton,,DIRECTOR
479396,tm200475,Maroun Bagdadi,,DIRECTOR
173191,tm90896,Youssef Chahine,,DIRECTOR
549933,tm336403,Mohammed Hussain,,DIRECTOR
1682144,tm107372,Suhail Tatari,,DIRECTOR
479396,tm259684,Maroun Bagdadi,,DIRECTOR
522301,tm403346,A. Salaam,,DIRECTOR
906104,tm16812,Alo Sarkar,,DIRECTOR
3308,tm155787,Martin Scorsese,,DIRECTOR
21108,tm22327,Stanley Kubrick,,DIRECTOR
37242,tm180542,Sergio Leone,,DIRECTOR
224,tm138875,Rob Reiner,,DIRECTOR
925,tm2386,Wes Craven,,DIRECTOR
45795,tm133087,Herbert Ross,,DIRECTOR
27046,tm177480,Hugh Wilson,,DIRECTOR
12968,tm54450,John Carpenter,,DIRECTOR
18924,tm145608,Penny Marshall,,DIRECTOR
12814,tm147710,Jeremiah S. Chechik,,DIRECTOR
7782,tm142895,John G. Avildsen,,DIRECTOR
73538,tm20712,Robert Townsend,,DIRECTOR
31566,tm117580,Spike Lee,,DIRECTOR
32357,tm130586,Franco Zeffirelli,,DIRECTOR
